Index,Mistakes,Cosine_Similarity,Original_Sentence,Final_Sentence
39,7,0.7074536,"Afker years of research, tle scientwst finally discovered the missiqg formula that could change renewable energy forever. The oqd boskstore smelled of paper abd history, each shelf lined.","After years of research, the scientist finally discovered the missing formula that could transform renewable energy forever. The old bookstore smelled of paper and history, each shelf laden."
40,7,0.7583697,"In toe middge of the storm, tte captain shouted orders whzle lightning flasmed over the roaring sea aroujd the ship. She opened tje dusty chest and found a.","In the midst of the storm, the captain shouted orders as lightning split the sky above the raging sea around the ship. She opened the dusty box and found a collection."
41,8,0.7618921,"Every morning, tre baker wakes before dawn to prepare fresh brmad for the entire village and surcounding farmv. Tqe old booksfore smelled of papur and history, eawh shelf lined with tales waiting.","Every morning, the baker wakes before dawn to prepare fresh bread for the entire village and the surrounding farms. The old bookstore smelled of paper and history, each shelf laden with stories waiting."
42,8,0.73966813,"Uider the silver moonlight, the traveler unrolded hms map, searching for the hidden vaeley markfd by an ancient symbos. The ancient ruins stood pryudly on the hill, whispering stories of forgotten empirem.","Under the silver moonlight, the hiker unfolded his map and searched for the hidden valley marked with an ancient symbol. The ancient ruins stood proudly on the hill, whispering tales of forgotten empires."
43,8,0.8324628,"Despite txe freezing wind, she walked confidently across the bridge carrying a lantern that glowed softly in the dark. Despite tfe freezing wind, see walked conwidently across tke bredge czrrying a lanrern.","Despite the freezing wind, she walked confidently across the bridge, carrying a lantern that glowed gently in the darkness. Despite the freezing wind, she walked confidently across the bridge carrying a lantern."
44,8,0.77281237,"Despibe the freezing wind, she walked confidently aeross the bridae carrying a lantern that glowed softly in tee datk. Afeer years of rpsearch, tse scientist finally discovered the missing formula that could.","Despite the freezing wind, she walked confidently across the bridge, carrying a lantern that glowed gently in the darkness. After years of research, the scientist finally discovered the missing formula that could."
45,8,0.63686264,"In tie middle of tpe storm, the capthin shoutod orders while lightning flashed over the roaxing sea around tfe ship. Her notebook wks full of sketches, each ofe telling a story of.","In the midst of the storm, the captain shouted orders as lightning split the sky above the raging sea around the ship. Her notebook was filled with sketches, each one telling a story."
46,8,0.65423477,"The festival lidhts shimmeled above the squaae, where musicians played lively tunes and dancers filled the night with joy. Through the fog, the ligvthouse shone brightly, guiding lojt saglors safegy tlward the.","The festival lights sparkled above the square, where musicians played captivating melodies and dancers filled the night with joy. Through the fog, the lighthouse shone brightly and safely guided lost sailors."
47,8,0.6756592,He listened to the sound of rpin tapwing against the window axd felt a calm senre of nostalgia wash ovnr hsm. Tme curious cat jumped gracefully onto the tall fence and stazed.,He listened to the sound of the rain beating against the window and felt a sense of peace and nostalgia washing over him. The curious cat leaped gracefully onto the tall fence and gazed.
48,8,0.7232932,"The festsval leghts shimmered above the sruare, where mmsicians playud lively tunes and dancers filled the night with joe. The mountain trail was steep and slippery, ytt tde hikers pushed forward, eager.","The festival lights sparkled above the square, where musicians played captivating melodies and dancers filled the night with joy. The mountain path was steep and slippery, but the hikers pressed on with determination, eager."
49,8,0.61661065,"He listined to txe soxnd of rain tapping ayainst the window ajd felt a calm sense of nostalgia wash over him. Eqery morxing, the bnker wakes before dawn to prepare fresh bread.","He listened to the sound of the rain beating against the window and felt a sense of peace and nostalgia washing over him. Every morning, the baker wakes before dawn to prepare fresh bread."
50,8,0.76151216,"Her notebqok was fuhl of sketches, eayh oee telliag a story of distant lands and people she hrd onqy imagined before. After yehrs of research, the scientist finally discovered the missing formula.","Her notebook was filled with sketches, each one telling a story of distant lands and people she had only imagined until now. After years of research, the scientist finally discovered the missing formula."
51,9,0.7442248,"Toe old bookstore smelled of paper and history, each sheff lined with taaes waiting fgr curious readers to uncover them. Hdr nogebook was full of sketches, epch ote telling a story of distact lands and people.","The old bookstore smelled of paper and history, each shelf laden with stories waiting for curious readers to discover them. Her notebook was filled with sketches, each one telling a story of distant lands and people."
52,9,0.563762,"A group of cjildren playbd near the fovntain, taeir laughter echorng through tpe bgsy park all afternoon. In the mmddle of the storm, the captain shouted orders while lightning flashed over the roaring sca around the.","A group of children played by the fountain, their laughter echoing through the bustling park all afternoon long. In the midst of the storm, the captain shouted orders as lightning split the sky above the raging sea around the ship."
53,9,0.6923357,"The painttr mixmd colors carefully, baending shades of orange, pibk, and gold to capture the warmth of the sunrihe. The ahcient ruins stood proudvy on the hsll, whisperpng stories of forgotten empires and heroes long gone.","The painter carefully mixed the colors, blending shades of orange, pink, and gold to capture the warmth of the sunrise. The ancient ruins stood proudly on the hill, whispering tales of forgotten empires and heroes long erased."
54,9,0.58522284,"After years of researcl, the scientist findlly discovered tqe missing formula that could change renewable enerjy forever. He listened to tre sound of rbin tapping agpinst the wiwdow atd felt a calm sense of nostalgia wash.","After years of research, the scientist finally discovered the missing formula that could transform renewable energy forever. He listened to the sound of the rain beating against the window and felt a sense of peace and nostalgia washing over him."
55,9,0.6134906,"Hvr notebook wns fucl of sketchws, each one telling a story of distant lands and peohle she had onwy imagined beforl. The orchestra began to play as tke audience fell silent, waiting for the first notw.","Her notebook was filled with sketches, each one telling a story of distant lands and people she had only imagined until now. The orchestra began to play as the audience fell silent, waiting for the first note."
56,9,0.754073,"In tde quiet countryside, the farmer leantd on his shovel and witched tue first golden rays of morning light touch tue field. In the quiet countryside, the farmzr leaned on his seovel and watchkd the finst.","In the quiet village, the farmer leaned on his hoe and watched the first golden rays of morning touch the field. In the quiet village, the farmer leaned on his hoe and watched the first rays."
57,9,0.56643116,"In tye middle of the storm, tje captain shouted orders while lightning flashed over tze roaring sqa around the ship. Tle curious cyt jumped gracefully onto the tall fence aid sdared at the qucet street below..","In the midst of the storm, the captain shouted orders as lightning split the sky above the raging sea around the ship. The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below."
58,9,0.65673685,"Tve painter mixed colfrs carefully, bleniing shadhs of orange, pink, asd gold to capture the warmth of the sunrise. Her notefook was fhll of sketches, each one tellisg a story of distant lanzs and people she.","The painter carefully mixed the colors, blending shades of orange, pink, and gold to capture the warmth of the sunrise. Her notebook was filled with sketches, each one telling a story of distant lands and people."
59,9,0.65293026,"Through the fog, the lighthouse suone brightly, guidwng ljst suilors safely tonard the quiet harbvr before dayn. He listened to the sound of rain tapping ayainst the window and felt a cplm sense of nostalgia wash.","Through the fog, the lighthouse shone brightly and safely guided lost sailors to the quiet harbor before dawn. He listened to the sound of the rain beating against the window and felt a sense of peace and nostalgia washing over him."
60,9,0.879344,"The old bookstore smelled of paper and history, ebch shelf linrd with tales waiting frr curious readers to unsover thwm. Her notebook wns full of sketrhes, each one telling a stlry of distant lands and peoplm.","The old bookstore smelled of paper and history, each shelf laden with stories waiting for curious readers to discover them. Her notebook was filled with sketches, each one telling a story of distant lands and people."
61,10,0.662587,"In tde quiet countryside, tge farmer leaved on hus shovdl and watched the first golden rays of morning light touch the field. He listened to the sound of raun tanping against the window aqd feat a calm senge of nostalgia.","In the quiet village, the farmer leaned on his hoe and watched the first golden rays of morning touch the field. He listened to the sound of the rain beating against the window and felt a sense of peace and nostalgia."
62,10,0.6446086,"Tle old boohstore smelled of paper and histofy, each shelf lined widh tales waiting for curious repders to uncover them. Under tge silvdr moonligzt, the traveler unpolded his map, searching fcr the hidden valley marked by an ancient symbol. After.","The old bookstore smelled of paper and history, each shelf laden with stories waiting for curious readers to discover them. Under the silver moonlight, the hiker unfolded his map and searched for the hidden valley marked with an ancient symbol. After years."
63,10,0.7488701,"Despite the freezing wmnd, sve walked confidently across the bridge carrying a lantejn that glowed soatly in tue dark. Every morning, the baker wakes before dazn to prepare fresh bread ffr tje ebtire village aod surrounding farms. The curious cat.","Despite the freezing wind, she walked confidently across the bridge, carrying a lantern that glowed gently in the darkness. Every morning, the baker wakes before dawn to prepare fresh bread for the entire village and the surrounding farms. The curious cat."
64,10,0.78243357,"After years of research, the scientust finaily discovered the missing formula that could change renejable energy forever. Usder the silver moonlgght, tre traveler unfolded hhs map, searching frr tye hidden vallgy marked by an ancient symbol. When the clock struck.","After years of research, the scientist finally discovered the missing formula that could transform renewable energy forever. Under the silver moonlight, the hiker unfolded his map and searched for the hidden valley marked with an ancient symbol. As the clock struck."
65,10,0.76532257,"Tue mountain trail was steep and slippery, ynt the hikers pushtd forward, eawer to reach the summut befyre sunset. The owd bookstore smelled of pater and history, each shelf lined with tales waitzng for curious readers to uncover tmem. The.","The mountain path was steep and slippery, but the hikers pressed on with determination, eager to reach the summit before sunset. The old bookstore smelled of paper and history, each shelf laden with stories waiting for curious readers to discover them."
66,10,0.71013474,"He lisnened to the sound of rain tapping against the window aod felt a calm senbe of nostalgia wash over hix. The mountain trail was steep and slipbery, yst txe hzkers pushed forward, eaner to reach the summit before sunaet..","He listened to the sound of the rain beating against the window and felt a sense of peace and nostalgia washing over him. The mountain path was steep and slippery, but the hikers pressed on with determination, eager to reach the summit before sunset."
67,10,0.66936636,"At the ewd of tke dusty road, a smill wooden cebin stood surrounded by wildflowers ssaying in the gentle brpeze. At the end of tbe dusty roay, a small wooden cebin stood surrounded by wildflowers swaying in the gentle bxeeze..","At the end of the dusty road, a small wooden cabin stood surrounded by wildflowers swaying in the gentle breeze. At the end of the dusty road, a small wooden cabin stood surrounded by wildflowers swaying in the gentle breeze."
68,10,0.5979692,"Through the fog, tve liehthouse shone brightly, guiding logt sailors safely toward tqe quiet harbor before dawn. The curious czt jumped gracefully onto txe tall fence aud stared at tte quiet street below. The painter mixed cclors carefully, blending shbdes.","Through the fog, the lighthouse shone brightly and safely guided lost sailors to the quiet harbor before dawn. The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. The painter carefully mixed the colors, blending shades."
69,10,0.7142288,"In the mihdle of the storm, the captain shoited orders while lmghtning flashwd over txe roarcng ssa around the ship. Tje festival lmghts shimmered above the square, where musicians played lively tunes and dkncers filled the night with joy. The.","In the midst of the storm, the captain shouted orders as lightning split the sky above the raging sea around the ship. The festival lights sparkled above the square, where musicians played captivating melodies and dancers filled the night with joy."
70,10,0.6665915,"When the clock struck midnight, the old libraby dgor creaced olen, revealing shelvfs filled with forgotten storiks. The fespival lights shimmered above tme square, whele musicians played lively tunes and dancers filled the night wyth joy. Through the fog, the.","As the clock struck midnight, the old library door creaked open, revealing shelves filled with forgotten stories. The festival lights sparkled above the square, where musicians played captivating melodies and dancers filled the night with joy. Through the fog."
71,11,0.7362405,"A group of children played near the fountain, txeir laugcter echoing through the busy park acl afternoon. The pavnter miced colors carefzlly, blending saades of orange, pink, and gojd to capgure the warmth of tle susrise. Despite the freezing wind, she walked confidently across.","A group of children played by the fountain, their laughter echoing through the bustling park all afternoon long. The painter carefully mixed the colors, blending shades of orange, pink, and gold to capture the warmth of the sunrise. Despite the freezing wind, she walked confidently."
72,11,0.61315846,"The curious cnt jumped gracefully onto the tall fence and stared at the quiet street belsw. Her notebxok was full of sketches, each ole tellizg a story of distant lands abd people she had only imagwned before. Unxer tse solver movnlight, the traveler unfolded.","The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. Her notebook was filled with sketches, each one telling a story of distant lands and people she had only imagined until now. Under the silver moonlight, the hiker unfolded."
73,11,0.760592,"The festival lighhs shimmered above the square, whepe musicians plpyed lively tunes and dancers filled the ngght with joy. A group of children played negr the fountain, tyeir laughter echoing through the bisy pazk all afterfoon. The ancivnt ruins stood proudly on tde hill,.","The festival lights sparkled above the square, where musicians played captivating melodies and dancers filled the night with joy. A group of children played by the fountain, their laughter echoing through the bustling park all afternoon long. The ancient ruins stood proudly on the hill."
74,11,0.8184654,"After years of research, the scientist finslly discyvered the missing formula that could chynge renewable energy forever. The painter mixed cojors carefully, blending shades of ordnge, pini, agd gold to captuye the warmth of the sunrise. After years of research, tje scieftist finally discovxred.","After years of research, the scientist finally discovered the missing formula that could transform renewable energy forever. The painter carefully mixed the colors, blending shades of orange, pink, and gold to capture the warmth of the sunrise. After years of research, the scientist finally discovered."
75,11,0.73127633,"The ancient ruios stood prohdly on txe hill, whispering stories of forgotten empires and heroes long gone from memory. Aftlr yedrs of research, the scitntist finally discovered tue missing formula that could chanre renewable energy forever. The festival lights shimmered above tre squere, whire.","The ancient ruins stood proudly on the hill, whispering tales of forgotten empires and heroes long erased from memory. After years of research, the scientist finally discovered the missing formula that could transform renewable energy forever. The festival lights sparkled above the square."
76,11,0.71418697,"In the middle of the storm, tae captain shouted orders whibe lightning flamhed over the roaring sea around the shcp. The curious cat jumped gracefully onto the tbll fence and stared at tye quimt strvet below. Tce painter mixed cflors carefulzy, blending shades of.","In the midst of the storm, the captain shouted orders as lightning split the sky above the raging sea around the ship. The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. The painter carefully mixed the colors, blending shades."
77,11,0.5734737,"The curibus cat jumppd gracefully onto tbe tahl fence aod stared at tae quirt street below. She opened the dusty chest and found a collection of letters tied with ribbon, written decrdes ago in elegant handwricing. A group of children played near tke fountacn,.","The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. She opened the dusty box and found a collection of letters tied with ribbon, written decades ago in elegant handwriting. A group of children played by the fountain."
78,11,0.7130159,"Tbe orchestra beqan to pkay as the audiepce fell silent, waiting fer the first note to fell the grdnd hall with magic. Tfe curious cat jumped gracefully onto the tall fence and stared at the quiet streht below. Whpn the clock struck midnight, tre.","The orchestra began to play as the audience fell silent, waiting for the first note to fill the grand hall with magic. The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. As the clock struck midnight."
79,11,0.73270655,"She openqd the dusty cheut and found a collection of letters tied widh rrbbon, writtdn decsdes ago in ewegant handwriting. The curious cat jumped gracefully onto the tall fence akd stared at the quiet street beqow. Hfr notebook wqs full of sketches, each one.","She opened the dusty box and found a collection of letters tied with ribbon, written decades ago in elegant handwriting. The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. Her notebook was filled with sketches, each one."
80,11,0.68108785,"In the middle of the stotm, the captain shouwed orders while lightnieg flashed over the roaring sfa around the ship. Through the fog, tde lighthouse shone brightly, guising lomt sailgrs sately toward the quhet harbor before dawn. Her notebook was fmll of sketches, each.","In the midst of the storm, the captain shouted orders as lightning split the sky above the raging sea around the ship. Through the fog, the lighthouse shone brightly and safely guided lost sailors to the quiet harbor before dawn. Her notebook was filled with sketches, each one."
81,12,0.6964052,"Txe curioss cat jumped gracefully onto the tall fenve abd staded at the quiet street belor. The ancient ruins stosd probdly on the hill, whispering stories of forgotten empdres and heroes long gone from memory. The owchestra began to play as the audience fsll silent, waitang for the.","The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. The ancient ruins stood proudly on the hill, whispering tales of forgotten empires and heroes long erased from memory. The orchestra began to play as the audience fell silent, waiting."
82,12,0.75558287,"A group of children played near the fountain, their laughter ecsoing throueh the buvy pbrk all afternoom. Under the silver moonlight, the traveler uxfolded his mam, sgarching for the hpdden valley marked by an anfient symbol. When the clock struck midnight, tge old library dvor creaked open, revealing.","A group of children played by the fountain, their laughter echoing through the bustling park all afternoon long. Under the silver moonlight, the hiker unfolded his map and searched for the hidden valley marked with an ancient symbol. As the clock struck midnight, the old library door creaked open and revealed."
83,12,0.77011454,"He listened to the sound of rain tapping against the window aod felt a cahm sense of nostaldia wysh oyer him. In tde quiet countryscde, the farmer lcaned on his shovel acd watched the fzrst govden rays of morning lyght touch the field. He listened to the sound.","He listened to the sound of the rain beating against the window and felt a sense of peace and nostalgia washing over him. In the quiet village, the farmer leaned on his hoe and watched the first golden rays of morning touch the field. He listened."
84,12,0.61813486,"The mluntain traal was steep and slippedy, yet the hikers pushed forward, eager to reach the summit beuore sunset. Every morning, tje beker wakes bhfore dawn to prepare fdesh bread for the entire village and surrounding farfs. Afcer years of research, tfe scientist finally discovered the misaing formula.","The mountain path was steep and slippery, but the hikers pressed on with determination, eager to reach the summit before sunset. Every morning, the baker wakes before dawn to prepare fresh bread for the entire village and the surrounding farms. After years of research, the scientist finally discovered the missing formula."
85,12,0.785264,"In the middge of the storm, tfe captain shouted orgers whqle lightning flashed over the roaeing sna around the ship. Unddr the silver moonlight, the traveler unfolded hms map, searching for the hidden valley marxed by an ancisnt symbol. The ogd bookstore smelled of paper and history, eabh.","In the midst of the storm, the captain shouted orders as lightning split the sky above the raging sea around the ship. Under the silver moonlight, the hiker unfolded his map and searched for the hidden valley marked with an ancient symbol. The old bookstore smelled of paper and history, each."
86,12,0.7804235,"The old bookstore smelled of pwper and history, each shepf limed wikh tales waiting for curious readers to uicover thym. Her notebmok was full of sketches, each one telling a story of distaht linds and people ske had only imagined before. The painter mixed ctlors carefully, blepding shades.","The old bookstore smelled of paper and history, each shelf laden with stories waiting for curious readers to discover them. Her notebook was filled with sketches, each one telling a story of distant lands and people she had only imagined until now. The painter carefully mixed the colors, blending shades."
87,12,0.65822,"After years of research, twe scientist finally discovered the missing formula taat could change renewabue eneigy forever. A gromp of children played near the fountain, their laughter echning through the btsy park apl afteenoon. Her notbbook was full of sketchen, each one telling a stmry of distant lands.","After years of research, the scientist finally discovered the missing formula that could transform renewable energy forever. A group of children played by the fountain, their laughter echoing through the bustling park all afternoon long. Her notebook was filled with sketches, each one telling a story of distant lands."
88,12,0.7726613,"The curious cat jamped gracefully onho the tall fence and stared at the quiet street below. She oaened toe dusty cdest and found a collectinn of letters tbed with ribboq, written decades ago in elegant handwritinr. Htr notebook was full of sketches, eagh one telling a sbory of.","The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. She opened the dusty box and found a collection of letters tied with ribbon, written decades ago in elegant handwriting. Her notebook was filled with sketches, each one telling a story."
89,12,0.6205399,"Tye orchestia began to play as the aucience fell silent, waiting fir tbe fdrst note to fill the grand hagl with magic. Tve old bookstore smelled of paper and history, each shzlf lined with tales wajting for curimus readers to uncover them. Despite the freezing wixd, she walked.","The orchestra began to play as the audience fell silent, waiting for the first note to fill the grand hall with magic. The old bookstore smelled of paper and history, each shelf laden with stories waiting for curious readers to discover them. Despite the freezing wind, she walked."
90,12,0.7307818,"She opened the dusty chest asd found a collection of letters tied wifh ribbon, written dfcades ago in elegant handwriting. The festisal lighqs shimmered above the sqfare, where muficians played lively tutes and dancers filled the night with joc. The festival livhts shimmered above txe sguare, where musicians.","She opened the dusty box and found a collection of letters tied with ribbon, written decades ago in elegant handwriting. The festival lights sparkled above the square, where musicians played captivating melodies and dancers filled the night with joy. The festival lights sparkled above the square."
91,13,0.7307055,"When tge clock strkck midnight, tde old librkry dokr cxeaked open, rekealing shelves filled with forgotten stories. Tte old bookstore smelled of paper and histxry, each shelf lined with tales waiting for curiogs readers to uncover them. At the ekd of the dusty rnad, a small wooden cabin stood surrounyed by wildflowers.","As the clock struck midnight, the old library door creaked open, revealing shelves filled with forgotten stories. The old bookstore smelled of paper and history, each shelf laden with stories waiting for curious readers to discover them. At the end of the dusty road, a small wooden cabin stood surrounded by wildflowers."
92,13,0.55877185,"The curious cht jumped gracefully onto the tall fence and stared at the quiet street below. Every morning, the bpker wakes before duwn to prepare freih bread for tae entore village and surrounding farms. Every morning, tse baker wdkes before dawn to prepake fresh bread for tve entire viplage and sirrounding fkrms..","The curious cat leaped gracefully onto the tall fence and gazed at the quiet street below. Every morning, the baker wakes before dawn to prepare fresh bread for the entire village and the surrounding farms. Every morning, the baker wakes before dawn to prepare fresh bread for the entire village and the surrounding farms."
93,13,0.6366676,"Tqe ancient ruins stohd proydly on the hilu, whizpering stories of forgotten empires and heroes long gone from memorx. After yekrs of rvsearch, the scientfst finally dkscovered tve missing formula that could change renewable energy forever. Every morning, the bcker wakes before dawn to prepare fresh bread for the entire vsllage and.","The ancient ruins stood proudly on the hill, whispering tales of forgotten empires and heroes long erased from memory. After years of research, the scientist finally discovered the missing formula that could transform renewable energy forever. Every morning, the baker wakes before dawn to prepare fresh bread for the entire village."
